source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,id,consortium_member
"ACJS, ASC","Tenure-Track Assistant Professor - Department of Criminology, Law and Society",George Mason University,"Department of Criminology, Law and Society",United States,"Fairfax, VA",Assistant Professor,"Open (Criminology, Criminal Justice, Law and Society)",,,,2026-08-03,2026-09-01,,,https://careers.acjs.org/job/tenure-track-assistant-professor-department-of-criminology-law-and-society/85401192/,"https://careers.acjs.org/job/tenure-track-assistant-professor-department-of-criminology-law-and-society/85401192/, https://listings.jobs.gmu.edu/jobs/tenure-track-assistant-professor-fairfax-va-virginia-united-states-other-7327cee6-e47e-4c43-aceb-9c4425407d72",452,
TSPA,"Director, Operations Trust & Safety",Care.com,,United States,"Dallas, TX",Other,Operations,,,,2026-08-03,,,,https://jobs.smartrecruiters.com/Carecom1/3743990013971358-director-operations-trust-safety,https://jobs.smartrecruiters.com/Carecom1/3743990013971358-director-operations-trust-safety,438,
HigherEdJobs,"Director, Criminal Justice Graduate Program",Endicott College,"School of Social Sciences, Communication and Legal Studies",United States,"Beverly, MA",Other,Criminal Justice Graduate Program (director/administrative),,,,2026-07-31,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179514770,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179514770,420,
jobs.ac.uk,Lecturer/Senior Lecturer in Probation and Community Justice,De Montfort University,School of Applied Social Sciences,United Kingdom,Leicester,Assistant Professor,Probation and Community Justice,,,,2026-07-31,2026-09-25,,,https://www.jobs.ac.uk/job/DSL459/lecturer-senior-lecturer-in-probation-and-community-justice,https://www.jobs.ac.uk/job/DSL459/lecturer-senior-lecturer-in-probation-and-community-justice,471,
HigherEdJobs,Department Chair of Public Safety and Instructor - Criminal Justice,Weatherford College,Public Safety,United States,"Weatherford, TX",Other,Public Safety / Criminal Justice (chair),,,,2026-07-30,Open until filled,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179514093,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179514093,421,
HigherEdJobs,Assistant Professor of Criminal Justice,University of Wisconsin - Eau Claire,Department of Political Science & Criminal Justice,United States,"Eau Claire, WI",Assistant Professor,"Research methods, policing, corrections",,,,2026-07-30,2026-10-01,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179513905,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179513905,422,
HigherEdJobs,"Assistant Professor-in-Residence, Criminal Justice",University of Nevada Las Vegas,Department of Criminal Justice,United States,"Las Vegas, NV",Assistant Professor,Policing / police administration,,,,2026-07-28,2026-08-21,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179511102,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179511102,424,
HigherEdJobs,Assistant Professor (Criminology),Mississippi State University,Department of Sociology,United States,"Mississippi State, MS",Assistant Professor,Criminology,,,,2026-07-28,2026-09-30,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179511012,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179511012,425,
HigherEdJobs,"Assistant Professor (Criminology, 2nd position)",Mississippi State University,Department of Sociology,United States,"Mississippi State, MS",Assistant Professor,Criminology,,,,2026-07-28,2026-09-30,,,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179511011,https://www.higheredjobs.com/faculty/details.cfm?JobCode=179511011,426,
ASC,Assistant Professor,"John Jay College, CUNY",Department of Criminal Justice,United States,"New York, NY",Assistant Professor,"Criminology, criminal law and race, crime and racial subjectivities",,,,2026-07-28,2026-09-15,,,https://www.jjay.cuny.edu/,https://www.jjay.cuny.edu/,419,
